"132-8 ","AT-3BEH2TT-192 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 192 Fibers ",,,"$1.92 "
"132-8 ","AT-3BEH2TT-204 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  204 Fibers ",,,"$2.04 "
"132-8 ","AT-3BEH2TT-216 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 216 Fibers ",,,"$2.16 "
"132-8 ","AT-3BEH2TT-240 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 240 Fibers ",,,"$2.40 "
"132-8 ","AT-3BEH2TT-288 ","Single Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 288 Fibers ",,,"$2.88 "
"132-8 ","AT-34EN2S6-004 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 4 Fibers ",,,"$0.27 "
"132-8 ","AT-34EN2S6-006 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  6 Fibers ",,,"$0.28 "
"132-8 ","AT-34EN2S6-008 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 8 Fibers ",,,"$0.30 "
"132-8 ","AT-34EN2S6-012 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  12 Fibers ",,,"$0.33 "
"132-8 ","AT-34EN2S6-016 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 16 Fibers ",,,"$0.37 "
"132-8 ","AT-34EN2S6-018 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  18 Fibers ",,,"$0.38 "
"132-8 ","AT-34EN2S6-020 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 20 Fibers ",,,"$0.41 "
"132-8 ","AT-34EN2S6-024 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 24 Fibers ",,,"$0.43 "
"132-8 ","AT-34EN2S6-030 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 30 Fibers ",,,"$0.49 "
"132-8 ","AT-34EN2S6-036 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 36 Fibers ",,,"$0.53 "
"132-8 ","AT-34EN2TT-048 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Diele ctric Central Member, .40/.30,  48 Fibers ",,,"$0.64 "
"132-8 ","AT-34EN2TT-060 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 60 Fibers ",,,"$0.74 "
"132-8 ","AT-34EN2TT-072 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  72 Fibers ",,,"$0.86 "
"132-8 ","AT-34EN2TT-084 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 84 Fibers ",,,"$0.98 "
"132-8 ","AT-34EN2TT-096 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  96 Fibers ",,,"$1.08 "
"132-8 ","AT-34EN2TT-108 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 108 Fibers ",,,"$1.21 "
"132-8 ","AT-34EN2TT-120 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 120 Fibers ",,,"$1.34 "
"132-8 ","AT-34EN2TT-132 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  132 Fibers ",,,"$1.46 "
"132-8 ","AT-34EN2TT-144 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 144 Fibers ",,,"$1.55 "
"132-8 ","AT-34EN2TT-156 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  156 Fibers ",,,"$1.65 "
"132-8 ","AT-34EN2TT-168 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 168 Fibers ",,,"$1.78 "
"132-8 ","AT-34EN2TT-180 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  180 Fibers ",,,"$1.84 "
"132-8 ","AT-34EN2TT-192 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 192 Fibers ",,,"$1.96 "
"132-8 ","AT-34EN2TT-204 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 204 Fibers ",,,"$2.09 "
"132-8 ","AT-34EN2TT-216 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 216 Fibers ",,,"$2.21 "
"132-8 ","AT-34EN2TT-240 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30, 240 Fibers ",,,"$2.45 "
"132-8 ","AT-34EN2TT-288 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .40/.30,  288 Fibers ",,,"$2.95 "
"132-8 ","AT-3BEN2S6-004 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 4 Fibers ",,,"$0.27 "
"132-8 ","AT-3BEN2S6-006 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  6 Fibers ",,,"$0.29 "
"132-8 ","AT-3BEN2S6-008 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 8 Fibers ",,,"$0.31 "
"132-8 ","AT-3BEN2S6-012 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  12 Fibers ",,,"$0.34 "
"132-8 ","AT-3BEN2S6-016 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 16 Fibers ",,,"$0.37 "
"132-8 ","AT-3BEN2S6-018 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 18 Fibers ",,,"$0.39 "
"132-8 ","AT-3BEN2S6-020 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  20 Fibers ",,,"$0.41 "
"132-8 ","AT-3BEN2S6-024 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 24 Fibers ",,,"$0.44 "
"132-8 ","AT-3BEN2S6-030 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  30 Fibers ",,,"$0.49 "
"132-8 ","AT-3BEN2S6-036 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 36 Fibers ",,,"$0.54 "
"132-8 ","AT-3BEN2TT-048 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  48 Fibers ",,,"$0.64 "
"132-8 ","AT-3BEN2TT-060 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 60 Fibers ",,,"$0.75 "
"132-8 ","AT-3BEN2TT-072 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 72 Fibers ",,,"$0.87 "
"132-8 ","AT-3BEN2TT-084 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 84 Fibers ",,,"$0.99 "
"132-8 ","AT-3BEN2TT-096 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 96 Fibers ",,,"$1.09 "
"132-8 ","AT-3BEN2TT-108 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  108 Fibers ",,,"$1.23 "
"132-8 ","AT-3BEN2TT-120 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 120 Fibers ",,,"$1.36 "
"132-8 ","AT-3BEN2TT-132 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  132 Fibers ",,,"$1.47 "
"132-8 ","AT-3BEN2TT-144 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 144 Fibers ",,,"$1.57 "
"132-8 ","AT-3BEN2TT-156 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  156 Fibers ",,,"$1.67 "
"132-8 ","AT-3BEN2TT-168 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 168 Fibers ",,,"$1.79 "
"132-8 ","AT-3BEN2TT-180 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 180 Fibers ",,,"$1.86 "
"132-8 ","AT-3BEN2TT-192 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  192 Fibers ",,,"$1.98 "
"132-8 ","AT-3BEN2TT-204 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25, 204 Fibers ",,,"$2.11 "
"132-8 ","AT-3BEN2TT-216 ","Double Jacket/Single Armor AllWave Loose Tube Cable, PE Jacket and Dielectric Central Member, .35/.25,  216 Fibers ",,,"$2.23 "
